# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8323
#@/user_id	e7e57a2c-2e9c-446e-a89d-2d5cdff91181
a 	啊	c=28 d=1.67528 t=8271
chu yao 	出要	c=1 d=1 t=5880
chuan 	傳	c=4 d=1 t=7966
chuan guo lai 	傳過來	c=1 d=1 t=4962
chuang jian 	創建	c=7 d=1.00002 t=8031
ci 	次	c=2 d=1 t=7995
ci pan 	磁盤	c=7 d=2.15047 t=4669
ci shi 	此時	c=1 d=1 t=88
cong 	從	c=24 d=1.33503 t=8073
cong tou 	從頭	c=1 d=1 t=5721
cu xiao jia 	促銷價	c=1 d=1 t=4927
cun 	存	c=2 d=1 t=6372
cun chu 	存儲	c=5 d=1.77427 t=7036
cun zai 	存在	c=5 d=1.00001 t=7198
cuo 	錯	c=1 d=1 t=6825
cuo le 	错了	c=2 d=1 t=6730
cuo wu 	錯誤	c=3 d=1.01272 t=7997
da 	噠	c=1 d=1 t=5440
da 	大	c=2 d=1 t=6813
da 	打	c=4 d=1.00249 t=8002
da an 	答案	c=1 d=1 t=7027
da bu fen 	大部分	c=4 d=1.97045 t=8151
da cheng 	達成	c=1 d=1 t=4802
da da 	噠噠	c=1 d=1 t=5439
da dan 	大膽	c=1 d=1 t=9
da dian hua 	打電話	c=1 d=1 t=1773
da fu du 	大幅度	c=1 d=1 t=3768
da gai 	大概	c=15 d=1.00058 t=8077
da jia 	大家	c=1 d=1 t=7932
da kai 	大楷	c=1 d=1 t=5627
da kai 	打開	c=4 d=1.04169 t=8236
da liang 	大量	c=5 d=1.13626 t=4569
da mi 	大米	c=0 d=0.1 t=4875
da mi er 	大米爾	c=1 d=1 t=4876
da shu ju 	大數據	c=2 d=1.15882 t=4140
da suan 	打算	c=2 d=1 t=6587
da ti 	大体	c=1 d=1 t=968
da xiao 	大小	c=1 d=1 t=4519
da yu 	大於	c=1 d=1 t=2805
da yue 	大約	c=2 d=1.00811 t=1120
da zhi 	大致	c=2 d=1.00057 t=4820
dai 	帶	c=2 d=1 t=4695
dai 	待	c=2 d=1.04416 t=7008
dai biao 	代表	c=1 d=1 t=6381
dai dian 	帶點	c=1 d=1 t=4762
dai li 	代理	c=1 d=1 t=5356
dai ma 	代嗎	c=1 d=1 t=1257
dai ma 	代碼	c=10 d=1.01549 t=7557
dai ni 	帶你	c=1 d=1 t=1554
dai shang 	帶上	c=0 d=0.1 t=4453
dai shang wo 	帶上我	c=1 d=1 t=4454
dai ti 	代替	c=2 d=1.0066 t=3026
dai tou 	帶頭	c=1 d=1 t=3071
dai zou 	帶走	c=1 d=1 t=4924
dan 	單	c=3 d=0.703708 t=8013
dan du 	單獨	c=5 d=1.92048 t=6391
dan ji 	單機	c=3 d=1.00101 t=7402
dan shi 	但是	c=30 d=2.50297 t=7752
dan shi wo 	但是我	c=1 d=1 t=6241
dang qian 	當前	c=5 d=1.17699 t=2506
dang shi 	當時	c=1 d=1 t=308
dao 	到	c=47 d=3.38367 t=8286
dao chu 	導出	c=1 d=1 t=6008
dao jia 	到家	c=1 d=1 t=2862
dao ru 	導入	c=2 d=1.10435 t=1265
dao sheng fa 	道生法	c=1 d=0.791275 t=100
dao sheng fa shao deng 	道生法稍等	c=1 d=1 t=45
dao zhi 	導致	c=6 d=1 t=7441
dao zhi 	道指	c=1 d=1 t=167
de 	的	c=671 d=12.3399 t=8312
de bu chang shi 	得不偿失	c=1 d=1 t=3748
de dao 	得到	c=4 d=1.3255 t=7691
de zhi 	得知	c=1 d=1 t=8076
deng 	等	c=2 d=1.11192 t=922
deng hui 	等會	c=6 d=1.17561 t=6507
deng ji 	登記	c=3 d=1.97531 t=5552
deng lu 	登錄	c=5 d=1.94267 t=8022
deng lu 	登陸	c=1 d=1 t=4111
deng ta 	等他	c=1 d=1 t=2342
deng wo 	等我	c=6 d=1.09382 t=6447
deng xia 	燈下	c=1 d=1 t=1006
deng xia 	等下	c=3 d=0.145959 t=6504
deng xia wo 	等下我	c=1 d=1 t=6505
deng yu 	等於	c=2 d=1 t=8299
di 	底	c=1 d=1 t=4894
di 	第	c=2 d=1 t=4726
di di 	滴滴	c=1 d=1 t=3112
di er 	第二	c=1 d=1 t=3641
di er bu fen 	第二部分	c=1 d=1 t=5100
di er ge 	第二個	c=1 d=1 t=5319
di er ge 	迪爾格	c=2 d=1.99501 t=5318
di fang 	地方	c=5 d=1.05502 t=7706
di gao 	底稿	c=1 d=1 t=3769
di pei zhi 	低配置	c=1 d=1 t=5919
di san ge 	第三個	c=1 d=1 t=5325
di yi 	第一	c=2 d=1.00086 t=5089
di yi ban ben 	第一版本	c=1 d=1 t=3840
di yi dian 	第一點	c=1 d=1 t=1352
di yi ge 	第一個	c=4 d=1.0023 t=7746
di zhi 	地址	c=5 d=1.00353 t=6949
dian 	電	c=1 d=1 t=4698
dian 	點	c=21 d=1.34452 t=8264
dian nao 	電腦	c=7 d=1.00124 t=7405
diao 	掉	c=5 d=1.03412 t=6595
diao du 	調度	c=1 d=1 t=997
diao yong 	調用	c=1 d=1 t=4638
ding 	定	c=2 d=1 t=4659
ding dan 	訂單	c=8 d=3.07734 t=7878
ding qi 	定期	c=1 d=1 t=565
ding shi 	定時	c=2 d=1 t=4587
ding wei 	定位	c=2 d=1.02599 t=7682
ding yi 	定義	c=4 d=2.89771 t=6245
diu shi 	丟失	c=3 d=1 t=7865
dong xi 	東西	c=5 d=1.00354 t=7832
dou 	都	c=14 d=2.08112 t=7914
dou bu zhi dao 	都不知道	c=1 d=1 t=8282
dou hui 	都會	c=0 d=0.1 t=2202
dou hui shan chu 	都會刪除	c=1 d=1 t=2203
dou lai zi yu 	都來自於	c=1 d=1 t=5503
dou neng 	都能	c=1 d=1 t=1154
dou shi 	都是	c=12 d=1.11398 t=6715
dou yao 	都要	c=2 d=1.00001 t=8095
dou ying gai 	都應該	c=1 d=1 t=2990
dou you 	都有	c=2 d=1 t=6901
du qu 	讀取	c=2 d=1 t=6058
du xie 	讀寫	c=1 d=1 t=4293
du zi 	肚子	c=1 d=1 t=5348
duan 	端	c=3 d=1.00001 t=3586
duan kou 	斷口	c=3 d=2.65535 t=6430
dui 	對	c=31 d=1.28739 t=8196
dui bi 	對比	c=5 d=1 t=7327
dui bu dui 	對不對	c=1 d=1 t=5383
dui bu shang 	對不上	c=4 d=1.1283 t=1753
dui bu shang na ge 	對不上哪個	c=1 d=1 t=1143
dui le 	對了	c=1 d=1 t=6946
dui ni 	對你	c=1 d=1 t=7933
dui shang 	對上	c=2 d=1 t=7750
dui ying 	對應	c=2 d=1.95123 t=1695
dui yu 	對於	c=3 d=1.87376 t=2285
dui zhao 	對照	c=0 d=0.1 t=5320
dui zhao xia 	對照下	c=1 d=1 t=5321
duo 	多	c=10 d=1.0019 t=8265
duo da 	多大	c=1 d=1 t=2960
duo ge 	多個	c=1 d=1 t=4069
duo kan 	多看	c=1 d=1 t=1453
duo shao 	多少	c=12 d=1.00022 t=8300
duo tai 	多臺	c=1 d=1 t=5758
e 	額	c=3 d=1 t=7741
e 	餓	c=1 d=1 t=6572
e mi 	厄米	c=0 d=0.1 t=7368
e mi you 	厄米有	c=1 d=1 t=7369
ei 	誒	c=0 d=0.1 t=3365
en 	恩	c=3 d=1 t=4940
en en 	嗯嗯	c=8 d=1.00001 t=8164
er 	爾	c=0 d=0.1 t=4875
er 	而	c=1 d=1 t=3767
er bu shi 	而不是	c=2 d=1.02375 t=3679
er ci 	二次	c=1 d=1 t=8161
er dian 	二點	c=1 d=1 t=1370
er guo 	二果	c=0 d=0.1 t=4085
er qie 	而且	c=3 d=1.00033 t=7853
fa 	法	c=7 d=1.8781 t=5299
fa 	發	c=6 d=1.0012 t=7331
fa bu 	發佈	c=6 d=3.81358 t=6502
fa chu lai 	發出來	c=1 d=1 t=8129
fa dao sheng fa 	法道生法	c=1 d=1 t=101
fa ge 	發個	c=1 d=1 t=6951
fa gei wo 	發給我	c=1 d=1 t=2437
fa le 	發了	c=1 d=1 t=2392
fa shi dao fang 	法师道昉	c=1 d=1 t=41
fa song 	發送	c=3 d=1.06342 t=1931
fa wo 	法我	c=1 d=1 t=5595
fa wo 	發我	c=5 d=1.77391 t=7767
fa xian 	發現	c=7 d=1.00085 t=6868
fa you jian 	發郵件	c=1 d=1 t=4492
fa zai 	發在	c=0 d=0.1 t=1747
fan hui 	反回	c=1 d=1 t=5648
fan hui 	返回	c=4 d=1.00072 t=7372
fan yi 	翻譯	c=6 d=1 t=7386
fan yi cheng 	翻譯成	c=3 d=1.74306 t=1073
fang an 	方案	c=2 d=1 t=8043
fang bian 	方便	c=4 d=1.00029 t=5223
fang dao 	放到	c=2 d=1.81058 t=3676
fang fa 	方法	c=12 d=3.0498 t=6307
fang mian 	方面	c=1 d=1 t=7818
fang shang qu 	放上去	c=1 d=1 t=6331
fang shi 	方式	c=2 d=1 t=7258
fang wen 	訪問	c=4 d=1.00219 t=8013
fang zai 	放在	c=1 d=1 t=2892
fang zhi 	防止	c=2 d=1.74826 t=6122
fei 	非	c=3 d=0.423033 t=7816
fei chang 	非常	c=2 d=1.00023 t=4807
fei hui yuan 	非會員	c=1 d=1 t=7817
fei yong 	費用	c=2 d=1.72615 t=6829
fen 	分	c=1 d=1 t=2550
fen bie 	分別	c=3 d=1.00333 t=7521
fen bu shi 	分布式	c=7 d=1.39321 t=6678
fen cheng 	分成	c=3 d=1.92774 t=5827
fen pi 	分批	c=2 d=1.89137 t=325
fen qu 	分區	c=1 d=1 t=2049
fen xi 	分析	c=1 d=1 t=1977
fen xiang 	分享	c=1 d=1 t=6849
fen zhong 	分鐘	c=3 d=1.58941 t=6659
fen zhuang 	粉裝	c=1 d=1 t=5862
feng 	峯	c=1 d=1 t=821
feng zhuang 	封裝	c=2 d=1.35345 t=6071
fu fei 	付費	c=1 d=1 t=6192
fu he 	符合	c=1 d=1 t=7586
fu wu qi 	服務器	c=7 d=1.95655 t=7982
fu wu qu 	服務區	c=1 d=1 t=5725
fu xian 	復現	c=1 d=1 t=2608
fu za 	複雜	c=1 d=1 t=2778
fu zai 	負載	c=1 d=1 t=7820
fu ze 	負責	c=1 d=1 t=564
fu zhi 	附值	c=1 d=1 t=7711
gai 	改	c=7 d=1.08872 t=7719
gai 	該	c=1 d=1 t=1323
gai bian 	改變	c=1 d=1 t=8309
gai cheng 	改成	c=10 d=2.4456 t=7384
gai dong 	改動	c=1 d=1 t=7226
gai hao 	改好	c=1 d=1 t=1394
gai le 	改了	c=1 d=1 t=7439
gai wan 	改完	c=1 d=1 t=8082
gai xia 	改下	c=1 d=1 t=1510
gan jin 	趕緊	c=1 d=1 t=8167
gan jue 	感覺	c=6 d=1.01932 t=7621
gan xie 	感謝	c=1 d=1 t=4808
gan zhi 	感之	c=1 d=1 t=648
gan zhi 	感知	c=1 d=1 t=649
gan zou 	趕走	c=1 d=1 t=3069
gang 	剛	c=2 d=1.00947 t=4300
gang gang 	剛剛	c=3 d=1.00419 t=8113
gao 	搞	c=16 d=2.5657 t=8261
gao 	高	c=5 d=1.00011 t=6410
gao chu 	搞出	c=1 d=1 t=6657
gao hao 	搞好	c=1 d=1 t=5532
gao jing 	告警	c=3 d=1 t=4033
gao su 	告訴	c=2 d=1 t=6089
gao su ni 	告訴你	c=1 d=1 t=3064
gao su wo 	告訴我	c=2 d=1.02128 t=2378
gao wan 	搞完	c=2 d=0.100585 t=8245
ge 	個	c=26 d=1.03866 t=8269
ge 	哥	c=9 d=1 t=7232
ge ji fen zhong 	個幾分鐘	c=1 d=1 t=7490
ge shi 	格式	c=1 d=1 t=7374
ge wei 	各位	c=1 d=1 t=2102
ge yang 	格陽	c=1 d=1 t=375
ge zhong 	各種	c=2 d=1.85214 t=406
ge zi 	格子	c=1 d=1 t=1046
gei 	給	c=15 d=2.82551 t=8029
gei chu 	給出	c=5 d=2.69683 t=2069
gei chu lai 	給出來	c=1 d=1 t=1050
gei dao 	給到	c=1 d=1 t=1877
gei ding 	給定	c=1 d=1 t=1184
gei le 	給了	c=1 d=1 t=5695
gei ni 	給你	c=5 d=1.00006 t=7843
gei shu ju 	給數據	c=1 d=1 t=7007
gei ta 	給他	c=1 d=1 t=1772
gei wo 	給我	c=16 d=1.07909 t=8168
gei wo men 	給我們	c=1 d=1 t=4243
gen 	跟	c=3 d=1.00021 t=6580
gen ju 	根據	c=11 d=3.75488 t=7253
gen ni 	跟你	c=1 d=1 t=2744
geng 	更	c=2 d=1 t=8046
geng gai 	更改	c=1 d=1 t=3499
geng xin 	更新	c=8 d=1.16699 t=6048
gong chang 	工場	c=1 d=1 t=900
gong chang 	工廠	c=1 d=1 t=901
gong dan 	工單	c=2 d=1.35345 t=4230
gong ju 	工具	c=2 d=1 t=6079
gong neng 	功能	c=4 d=1.61878 t=8042
gong shi 	公式	c=1 d=1 t=5510
gong shi 	工時	c=4 d=1.76721 t=8120
gong si 	公司	c=2 d=1.02573 t=6335
gong wang 	公網	c=3 d=1.956 t=5598
gong zuo 	工作	c=9 d=2.30397 t=8124
gou tong 	溝通	c=2 d=1.00063 t=3370
gu 	股	c=0 d=0.1 t=5413
gu ge 	谷歌	c=1 d=1 t=5162
gu ji 	估計	c=1 d=1 t=7288
gu ji 	故及	c=1 d=1 t=7287
gu suan 	估算	c=1 d=1 t=6817
guan 	關	c=1 d=1 t=6762
guan bi 	關閉	c=3 d=2.68338 t=7538
guan cha 	觀察	c=1 d=1 t=1760
guan dian 	觀點	c=1 d=1 t=5052
guan jian zi 	關鍵字	c=1 d=1 t=4719
guan li 	管理	c=3 d=1 t=8321
guan lian 	關聯	c=1 d=1 t=3662
guan xi 	關係	c=5 d=1 t=6625
guan xin 	關心	c=1 d=1 t=3517
guan yu 	關於	c=11 d=1.00131 t=6613
guan zhu 	關注	c=2 d=1 t=7892
guang 	光	c=2 d=1.01031 t=5463
guang guang 	逛逛	c=1 d=1 t=1557
gui na 	歸納	c=1 d=1 t=7022
guo 	過	c=9 d=1.74839 t=7989
guo cheng 	過程	c=2 d=1 t=6890
guo cuo 	過錯	c=1 d=1 t=7479
guo lai 	過來	c=5 d=1.00046 t=4724
guo lv 	過濾	c=3 d=1.00052 t=7755
guo qi 	過期	c=1 d=1 t=7993
guo qu 	過去	c=4 d=1.00015 t=6568
guo ran 	果然	c=1 d=1 t=4583
ha 	哈	c=11 d=1.28024 t=7848
ha ha 	哈哈	c=2 d=1 t=7837
ha ha ha 	哈哈哈	c=2 d=1 t=8180
ha ha ha ha 	哈哈哈哈	c=1 d=1 t=3081
hai 	還	c=2 d=1.00001 t=8268
hai hao 	還好	c=2 d=1 t=6767
hai ke yi 	還可以	c=1 d=1 t=5332
hai mei 	還沒	c=1 d=1 t=4951
hai mei you 	還沒有	c=4 d=1 t=5954
hai shi 	還是	c=22 d=1.85124 t=7390
hai xiang 	还相	c=1 d=1 t=5357
hai xing 	還行	c=1 d=1 t=6701
hai xu 	海鱮	c=0 d=0.1 t=3928
hai xu ya 	海鱮呀	c=1 d=1 t=3929
hai xu yao 	還需要	c=1 d=1 t=3989
hai yao 	還要	c=2 d=1 t=8160
hai you 	還有	c=10 d=2.00699 t=7931
hai you yi jian 	還有一件	c=1 d=1 t=5111
hai zai 	還在	c=6 d=1 t=7785
hai zao 	海藻	c=1 d=1 t=2499
hai zao 	還早	c=1 d=1 t=2500
hang 	行	c=1 d=1 t=4727
hao 	好	c=21 d=1.08024 t=7765
hao 	耗	c=1 d=1 t=4547
hao 	號	c=5 d=1.97383 t=7874
hao ba 	好吧	c=2 d=1 t=6018
hao de 	好的	c=19 d=1.0525 t=7825
hao duo 	好多	c=1 d=1 t=4889
hao hao 	好好	c=1 d=1 t=3158
hao le 	好了	c=3 d=1 t=6376
hao qi 	好奇	c=1 d=1 t=7503
hao xiang 	好像	c=12 d=1.0666 t=7431
hao yong 	好用	c=2 d=1 t=8047
hao zao 	好早	c=1 d=1 t=2544
he 	和	c=102 d=4.83864 t=8225
he bing 	合併	c=3 d=2.88839 t=3520
he li 	合理	c=1 d=1 t=3836
he ni 	和你	c=3 d=1.00185 t=6506
he ta 	和他	c=1 d=1 t=2347
he ta men 	和他們	c=1 d=1 t=3198
he wo 	和我	c=3 d=1 t=8141
he wo men 	和我們	c=1 d=1 t=5264
he zuo 	合作	c=2 d=1.76338 t=403
hei ban 	黑板	c=0 d=0.1 t=5169
hei ban shang 	黑板上	c=1 d=1 t=5170
hen 	很	c=1 d=0.100072 t=6639
hen da 	很大	c=3 d=1 t=3591
hen duo 	很多	c=2 d=1 t=3745
hen gao 	很高	c=1 d=1 t=4129
hen hao 	很好	c=1 d=1 t=6691
hen kuai 	很快	c=1 d=1 t=5733
hen man 	很慢	c=1 d=1 t=2040
hen qing xi 	很清晰	c=1 d=1 t=1355
hen shao 	很少	c=1 d=1 t=4366
hen wen ding 	很穩定	c=1 d=1 t=6640
hen zhong yao 	很重要	c=2 d=1.0001 t=4996
hong li 	紅利	c=1 d=1 t=6557
hong lin 	紅林	c=2 d=1.86936 t=8241
hou 	後	c=9 d=1.07548 t=7053
hou mian 	後面	c=5 d=1.00232 t=7894
hou xu 	後續	c=2 d=1 t=4631
hou xu yao 	後需要	c=1 d=1 t=4630
hu 	湖	c=1 d=1 t=8295
hu lve 	忽略	c=1 d=1 t=7096
hua 	化	c=1 d=1 t=2779
hua 	花	c=1 d=1 t=850
hua 	話	c=5 d=1.72964 t=5388
